,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
0,2013-01-08,30.212,59699,134250,90624,16073,300646,377,240,33,35,685
1,2013-01-09,30.36,65744,149592,97197,13349,325882,396,250,42,36,724
2,2013-01-10,30.191,57871,156173,117625,19323,350992,413,254,42,39,748
3,2013-01-11,30.3145,64619,164164,117563,18018,364364,425,265,42,39,771
4,2013-01-14,30.254,77557,192439,130041,15159,415196,447,272,44,41,804
5,2013-01-15,30.3475,76941,203436,142668,16173,439218,484,286,48,43,861
6,2013-01-16,30.311,87831,263222,192930,17539,561522,489,292,51,44,876
7,2013-01-17,30.1945,89263,263415,192649,18497,563824,498,295,51,45,889
8,2013-01-18,30.27,80228,261487,197523,16264,555502,509,299,52,43,903
9,2013-01-21,30.268,80200,261988,197590,15802,555580,508,295,52,44,899
10,2013-01-22,30.225,80469,262155,197427,15741,555792,518,300,53,44,915
11,2013-01-23,30.162,85195,264584,196111,16722,562612,532,304,49,46,931
12,2013-01-24,30.0735,87594,267703,206173,26064,587534,551,312,54,46,963
13,2013-01-25,30.0325,89723,267856,206936,28803,593318,586,323,56,49,1014
14,2013-01-28,30.1675,89103,285983,214580,17700,607366,613,333,58,47,1051
15,2013-01-29,30.035,88467,289955,219236,17748,615406,618,340,56,48,1062
16,2013-01-30,30.0175,91591,292438,218629,17782,620440,627,355,53,47,1082
17,2013-01-31,30.026,91271,291711,218260,17820,619062,635,359,53,47,1094
18,2013-02-01,29.86,94720,290278,219022,23464,627484,647,378,54,56,1135
19,2013-02-04,30.0875,100180,297505,221044,23719,642448,661,384,56,56,1157
20,2013-02-05,29.95,102109,297302,223099,27906,650416,674,387,58,58,1177
21,2013-02-06,30.088,102210,303364,234052,32898,672524,686,393,57,57,1193
22,2013-02-07,30.188,101488,303699,234913,32702,672802,695,400,58,55,1208
23,2013-02-08,30.1745,101728,304070,242072,39730,687600,697,404,58,56,1215
24,2013-02-11,30.165,102102,305788,242098,38412,688400,707,405,59,57,1228
25,2013-02-12,30.04,98969,300477,241251,39743,680440,712,413,60,57,1242
26,2013-02-13,30.056,99086,300673,241392,39805,680956,721,412,59,59,1251
27,2013-02-14,30.1,104388,314609,249317,39096,707410,720,410,62,58,1250
28,2013-02-15,30.134,104847,314006,249980,40821,709654,730,408,63,58,1259
29,2013-02-18,30.134,105350,315075,251502,41777,713704,745,412,66,60,1283
30,2013-02-19,30.076,104209,313455,252540,43294,713498,755,418,66,60,1299
31,2013-02-20,30.1935,104647,313951,247939,38635,705172,770,425,69,61,1325
32,2013-02-21,30.4865,106152,318659,250605,38098,713514,768,442,69,61,1340
33,2013-02-22,30.4225,107561,322111,252549,37999,720220,776,450,67,65,1358
