,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
0,2013-01-08,30.212,562005,89287,840758,1313476,2805526,3025,699,299,131,4154
1,2013-01-09,30.36,543661,118760,882360,1307261,2852042,3124,818,320,146,4408
2,2013-01-10,30.191,634162,165779,906134,1374517,3080592,3345,954,326,159,4784
3,2013-01-11,30.3145,587328,178594,910605,1319339,2995866,3292,971,334,146,4743
4,2013-01-14,30.254,583739,192934,815156,1205961,2797790,3404,955,350,157,4866
5,2013-01-15,30.3475,586056,154891,781885,1213050,2735882,3583,913,355,159,5010
6,2013-01-16,30.311,581956,174260,825901,1233597,2815714,3529,892,353,158,4932
7,2013-01-17,30.1945,599394,184267,789062,1204189,2776912,3576,1018,352,175,5121
8,2013-01-18,30.27,633184,177581,785474,1241077,2837316,3736,880,354,179,5149
9,2013-01-21,30.268,608286,199462,802816,1211640,2822204,3689,958,357,168,5172
10,2013-01-22,30.225,671284,156100,795722,1310906,2934012,3884,945,358,169,5356
11,2013-01-23,30.162,661308,156823,819941,1324426,2962498,3880,1032,348,180,5440
12,2013-01-24,30.0735,680589,162120,829034,1347503,3019246,3937,1057,350,166,5510
13,2013-01-25,30.0325,673211,198176,836794,1311829,3020010,3846,1071,354,161,5432
14,2013-01-28,30.1675,611694,215051,874522,1271165,2972432,3784,951,353,174,5262
15,2013-01-29,30.035,621630,182817,870494,1309307,2984248,3934,969,356,164,5423
16,2013-01-30,30.0175,670136,194738,877456,1352854,3095184,4140,945,366,155,5606
17,2013-01-31,30.026,643414,148170,876439,1371683,3039706,4156,772,370,149,5447
18,2013-02-01,29.86,648604,148573,899653,1399684,3096514,3946,1014,355,161,5476
19,2013-02-04,30.0875,641263,133489,887297,1395071,3057120,4059,938,364,166,5527
20,2013-02-05,29.95,613518,142799,881855,1352574,2990746,4006,953,354,169,5482
21,2013-02-06,30.088,639309,141580,875098,1372827,3028814,4142,885,373,155,5555
22,2013-02-07,30.188,656083,131596,858686,1383173,3029538,4097,893,357,167,5514
23,2013-02-08,30.1745,651646,124765,843582,1370463,2990456,3933,876,357,166,5332
24,2013-02-11,30.165,698376,110508,804692,1392560,3006136,4176,800,361,155,5492
25,2013-02-12,30.04,661930,131860,827287,1357357,2978434,3952,1018,354,175,5499
26,2013-02-13,30.056,648764,133403,831680,1347041,2960888,3875,1072,341,179,5467
27,2013-02-14,30.1,669626,125389,839446,1383683,3018144,4093,819,381,153,5446
28,2013-02-15,30.134,668870,121569,841176,1388477,3020092,4025,833,366,160,5384
29,2013-02-18,30.134,656392,117427,843779,1382744,3000342,4061,843,364,154,5422
30,2013-02-19,30.076,654014,118114,836291,1372191,2980610,3995,921,354,162,5432
31,2013-02-20,30.1935,665562,126112,839491,1378941,3010106,4118,844,361,153,5476
32,2013-02-21,30.4865,709009,159335,913487,1463161,3244992,4523,965,384,151,6023
33,2013-02-22,30.4225,706144,131451,948444,1523137,3309176,4575,877,377,154,5983
34,2013-02-25,30.507,752977,165425,952834,1540386,3411622,4759,944,373,174,6250
35,2013-02-26,30.6345,667610,161412,923114,1429312,3181448,4157,1132,373,156,5818
36,2013-02-27,30.5325,691648,163192,886675,1415131,3156646,4254,1112,375,153,5894
37,2013-02-28,30.561,695434,164055,929576,1460955,3250020,4269,1048,386,147,5850
38,2013-03-01,30.699,735396,165181,914507,1484722,3299806,4311,1033,382,142,5868
39,2013-03-04,30.734,728089,168324,858721,1418486,3173620,4110,1137,359,161,5767
40,2013-03-05,30.616,684451,172336,832921,1345036,3034744,3855,1228,347,168,5598
41,2013-03-06,30.721,665789,205365,827162,1287586,2985902,4092,1118,363,156,5729
42,2013-03-07,30.6975,649810,222472,852111,1279449,3003842,3840,1144,358,166,5508
43,2013-03-11,30.7175,626181,201158,814507,1239530,2881376,3724,1208,350,161,5443
44,2013-03-12,30.701,655556,200381,830251,1285426,2971614,3771,1221,337,171,5500
45,2013-03-13,30.794,618165,185343,856815,1289637,2949960,3612,1163,355,155,5285
46,2013-03-14,30.72,635012,196868,890897,1329041,3051818,3448,1159,323,161,5091
47,2013-03-15,30.657,519970,128028,780881,1172823,2601702,2755,767,259,130,3911
48,2013-03-18,30.835,542988,143914,846077,1245151,2778130,2997,725,279,120,4121
49,2013-03-19,30.9855,550379,152035,761176,1159520,2623110,3131,811,279,124,4345
50,2013-03-20,30.85,545009,174701,761409,1131717,2612836,3161,860,288,142,4451
51,2013-03-21,30.9345,551134,164694,736913,1123353,2576094,3251,816,299,127,4493
52,2013-03-22,30.837,617915,181410,744348,1180853,2724526,3394,821,299,134,4648
53,2013-03-25,30.924,641616,178184,730726,1194158,2744684,3509,818,299,124,4750
54,2013-03-26,30.852,602354,184335,739698,1157717,2684104,3306,877,298,130,4611
55,2013-03-27,31.04,583547,177652,772707,1178602,2712508,3153,1057,319,126,4655
56,2013-03-28,31.0965,629640,179637,784329,1234332,2827938,3079,1022,290,133,4524
57,2013-03-29,31.06,638451,172869,822879,1288461,2922660,3187,950,295,128,4560
58,2013-04-01,31.0845,662613,190957,797771,1269427,2920768,3152,1026,301,139,4618
59,2013-04-02,31.3205,644146,214727,775232,1204651,2838756,3090,1217,316,135,4758
60,2013-04-03,31.644,642486,238098,713200,1117588,2711372,2938,1503,303,159,4903
61,2013-04-04,31.585,603992,227373,677439,1054058,2562862,2784,1493,272,173,4722
62,2013-04-05,31.52,656191,223260,645413,1078344,2603208,2920,1229,279,158,4586
63,2013-04-08,31.2195,774801,192112,608587,1191276,2766776,3411,1038,299,158,4906
64,2013-04-09,31.0205,770206,165413,606232,1211025,2752876,3465,894,325,141,4825
65,2013-04-10,30.884,820008,179847,743777,1383938,3127570,3837,876,344,143,5200
66,2013-04-11,30.884,888316,174869,721163,1434610,3218958,4120,788,363,126,5397
67,2013-04-12,31.085,904478,183049,753394,1474823,3315744,4217,657,383,119,5376
68,2013-04-15,31.45,790465,109913,757419,1437971,3095768,3764,752,367,115,4998
69,2013-04-16,31.263,772794,107783,704956,1369967,2955500,3496,859,341,130,4826
70,2013-04-17,31.886,688574,121125,677575,1245024,2732298,3455,1003,348,134,4940
71,2013-04-18,31.55,734564,127510,708750,1315804,2886628,3359,976,314,152,4801
72,2013-04-19,31.6635,728443,136071,678907,1271279,2814700,3382,961,315,163,4821
73,2013-04-22,31.553,779943,162913,709685,1326715,2979256,3530,942,334,151,4957
74,2013-04-23,31.6235,714129,197137,827777,1344769,3083812,3302,1065,315,149,4831
75,2013-04-24,31.46,713433,185746,810088,1337775,3047042,3240,1136,311,142,4829
76,2013-04-25,31.173,797069,129794,693343,1360618,2980824,3656,888,334,132,5010
77,2013-04-26,31.254,756889,115968,718362,1359283,2950502,3630,889,332,128,4979
78,2013-04-29,30.927,824870,163937,768140,1429073,3186020,4038,951,340,161,5490
79,2013-04-30,31.121,785925,155271,896019,1526673,3363888,3979,781,356,136,5252
80,2013-05-02,31.173,718748,144479,941528,1515797,3320552,3779,716,351,124,4970
81,2013-05-03,31.053,699250,142878,918514,1474886,3235528,3807,815,327,152,5101
82,2013-05-06,31.04,761452,126042,906275,1541685,3335454,4126,704,353,143,5326
