,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
0,2013-01-08,30.212,4647,6436,11235,9446,31764,139,122,17,32,310
1,2013-01-09,30.36,10068,12361,12046,9753,44228,149,129,20,34,332
2,2013-01-10,30.191,14050,16807,12400,9643,52900,160,131,19,37,347
3,2013-01-11,30.3145,14023,16840,12471,9654,52988,162,135,19,37,353
4,2013-01-14,30.254,16353,19326,12546,9573,57798,172,140,22,34,368
5,2013-01-15,30.3475,16461,19489,13602,10574,60126,173,151,23,35,382
6,2013-01-16,30.311,16825,20467,14480,10838,62610,176,159,26,35,396
7,2013-01-17,30.1945,19539,23695,14996,10840,69070,185,160,26,35,406
8,2013-01-18,30.27,20767,24899,15005,10873,71544,194,165,27,34,420
9,2013-01-21,30.268,22118,26028,14977,11067,74190,199,166,26,34,425
10,2013-01-22,30.225,22100,26018,14973,11055,74146,204,168,26,34,432
11,2013-01-23,30.162,22510,26222,14874,11162,74768,208,172,26,35,441
12,2013-01-24,30.0735,22511,26228,14880,11163,74782,209,177,26,36,448
13,2013-01-25,30.0325,22819,26526,15028,11321,75694,213,186,25,36,460
14,2013-01-28,30.1675,24263,27902,15504,11865,79534,221,192,26,39,478
15,2013-01-29,30.035,24386,28134,15530,11782,79832,225,194,26,39,484
16,2013-01-30,30.0175,24438,28425,15532,11545,79940,228,200,27,38,493
17,2013-01-31,30.026,24492,28464,15532,11560,80048,230,201,27,38,496
18,2013-02-01,29.86,24693,28567,15532,11658,80450,232,213,27,41,513
19,2013-02-04,30.0875,25547,29977,16099,11669,83292,247,214,28,41,530
20,2013-02-05,29.95,25358,30246,16947,12059,84610,246,226,31,40,543
21,2013-02-06,30.088,25572,30310,17909,13171,86962,259,229,32,41,561
22,2013-02-07,30.188,26098,30412,17920,13606,88036,261,231,31,41,564
23,2013-02-08,30.1745,26426,30727,17909,13608,88670,267,233,31,41,572
24,2013-02-11,30.165,26916,30909,18807,14814,91446,272,236,31,41,580
25,2013-02-12,30.04,27001,30975,18880,14906,91762,272,238,32,41,583
26,2013-02-13,30.056,26851,30791,19063,15123,91828,280,242,33,41,596
27,2013-02-14,30.1,26873,30811,19064,15126,91874,278,242,33,41,594
28,2013-02-15,30.134,26896,30832,19068,15132,91928,278,244,36,41,599
29,2013-02-18,30.134,26899,30842,19078,15135,91954,278,244,38,41,601
30,2013-02-19,30.076,26989,30969,19127,15147,92232,281,251,38,42,612
31,2013-02-20,30.1935,28625,31105,18262,15782,93774,288,257,37,44,626
